Score,Source,row_index,QA_ID
0.0,She is started on verapamil and instructed to exercise at 50% of her VO2 max while several cardiac parameters are being measured.,0,MedBullets df_op4 Q1
0.0,A 42-year-old woman is enrolled in a randomized controlled trial to study cardiac function in the setting of several different drugs.,0,MedBullets df_op4 Q1
102.54634858070266,"Her temperature is 99.5°F (37.5°C), blood pressure is 60/35 mmHg, pulse is 190/min, respirations are 33/min, and oxygen saturation is 98% on room air.",1,MedBullets df_op4 Q2
90.16539679251929,"This morning she was minimally responsive, vomited several times, and produced a small amount of dark cloudy urine.",1,MedBullets df_op4 Q2
62.302801099522206,Her parents are divorced and her father has noted she does not seem to get sick when he takes care of her.,1,MedBullets df_op4 Q2
46.15340928097278,"Her mother says that last night her daughter felt ill, and her condition has been worsening.",1,MedBullets df_op4 Q2
43.739664538937724,She presented with similar symptoms 6 weeks ago and was treated for an Escherchia coli infection.,1,MedBullets df_op4 Q2
149.8379835094525,"Physical exam reveals innumerable hypopigmented macules on the skin and an irregularly shaped, thickened, and elevated plaque on the lower back.",2,MedBullets df_op4 Q3
104.84472283588971,"She recently underwent a neurology evaluation which revealed hypsarrhythmia on electroencephalography (EEG) with a mix of slow waves, multifocal spikes, and asynchrony.",2,MedBullets df_op4 Q3
66.63834381103516,Her parents have noticed the patient occasionally stiffens and spreads her arms at home.,2,MedBullets df_op4 Q3
43.95909374738858,She was born at 38-weeks gestational age without complications.,2,MedBullets df_op4 Q3
38.8581289628515,Her medications consist of lamotrigine and valproic acid.,2,MedBullets df_op4 Q3
64.94967099533093,"A 17-year-old boy presents to his primary care physician with a chief concern of ""bad"" skin that has not improved despite home remedies.",3,MedBullets df_op4 Q4
42.3455606251955,He has a diet high in refined carbohydrates and has gained 20 pounds since starting high school.,3,MedBullets df_op4 Q4
41.580142484821266,The patient has had lesions on his face that have persisted since he was 13 years of age.,3,MedBullets df_op4 Q4
38.67922607982281,Physical exam is notable for the findings in Figure A.,3,MedBullets df_op4 Q4
23.454603330710963,The patient is started on benzoyl peroxide and topical retinoids.,3,MedBullets df_op4 Q4
86.95179393994172,Serum laboratory results are shown below: Na+: 120 mEq/L Cl-: 92 mEq/L K+: 3.9 mEq/L HCO3-: 26 mEq/L BUN: 32 mg/dL Creatinine: 1.0 mg/dL Serum osmolality is 265 mEq/L and urine osmolality is 340 mEq/L.,4,MedBullets df_op4 Q5
47.61678926020053,"Her medical problems consist of heart failure for which she takes furosemide, spironolactone, and metoprolol, which were continued at admission.",4,MedBullets df_op4 Q5
33.0480955903393,"On hospital day 3, she is found to be disoriented to person, place, and time.",4,MedBullets df_op4 Q5
28.4613723036498,"The headache started suddenly while she was eating dinner and she says it feels like the “worst headache of my life.” An emergent CT scan of the head without contrast confirms the diagnosis, and a CT angiogram identifies the source of bleeding.",4,MedBullets df_op4 Q5
