Origin,QA_ID,Score,Source_preview
ID0589,Merge Q10,-0.2240565388229048,.
ID0021,Merge Q1000,-4.793206882270035,.
ID1148,Merge Q101,-1.790393479168415,.
ID0395,Merge Q1012,1.5320316465237662,.
ID0199,Merge Q1020,11.143751234169924,"B, Right upper eyelid retraction after downward gaze."
ID0199,Merge Q1020,8.785772872226598,"C, Magnetic resonance imaging of the brain showing a very small amount of residual tumor (arrowhead) in the right cavern"
ID0199,Merge Q1020,2.788125722438564,"This modal can be closed by pressing the Escape key or activating the close button.A, Right eye esotropia after voluntar"
ID0199,Merge Q1020,0.0,.
ID0199,Merge Q1020,-0.0,Escape will cancel and close the window.This is a modal window.
ID1032,Merge Q1023,0.8647558689117432,.
ID0278,Merge Q1033,0.0,.
ID0852,Merge Q1039,-0.7628191435818615,.
ID1919,Merge Q1041,1.8521409235880053,Laboratory testing reveals the following: Serum: Na+: 137 mEq/L Cl-: 102 mEq/L K+: 4.2 mEq/L HCO3-: 24 mEq/L Urea nitrog
ID1536,Merge Q1051,0.2079286573731189,.
ID1599,Merge Q1076,-0.608297715802407,.
ID0496,Merge Q1082,1.1041584646321738,"Hemoglobin: 9 g/dL Hematocrit: 33% Leukocyte count: 2,500/mm^3 with normal differential Platelet count: 107,000/mm^3 Ser"
ID1963,Merge Q1091,-1.0217108666801422,Serum laboratory results are as follows: Hemoglobin: 12.0 g/dL Creatinine: 1.1 mg/dL Ca2+: 10.6 mg/dL.
ID1157,Merge Q1096,-0.0264041114040998,.
ID0321,Merge Q11,-0.0,.
ID1508,Merge Q1103,0.5072452853468227,She can follow the command to “give me the ball and then close the door.”
ID1200,Merge Q1108,1.637877106666565,17-hydroxyprogesterone: 214 ng/dL (Normal: < 200 ng/dL)
ID1200,Merge Q1108,1.3105860534110092,DHEAS: 73 ug/dL (Normal: 145-395 ug/dL)
ID1200,Merge Q1108,0.6923849582672119,Testosterone: 256 ng/dL
ID1200,Merge Q1108,0.0423741672965912,Ultrasound findings are shown in Figure A.
ID1200,Merge Q1108,-0.1199196351532713,"Leukocyte count: 8,000 cells/mm^3"
ID1200,Merge Q1108,-0.3321774049689975,Hemoglobin: 13.9 g/dL
ID1200,Merge Q1108,-1.3777928411558005,"Platelet count: 142,000/mm^3"
ID0048,Merge Q1110,55.56709351516278,The following laboratory studies are performed: Serum: Thyroid stimulating hormone (TSH): 28 µIU/mL (9-30 µIU/mL) Cycle 
ID1602,Merge Q1113,65.76252176230771,"Hemoglobin: 12 g/dL Hematocrit: 36% Leukocyte count: 9,750/mm^3 with normal differential Platelet count: 197,000/mm^3 Se"
ID0974,Merge Q1143,-0.40689436889844,"Laboratory workup is performed, and the results are shown below: Serum: Hemoglobin: 7.2 g/dL Total bilirubin: 2.1 mg/dL "
ID1895,Merge Q1150,1.2400033416288472,.
ID1494,Merge Q1169,0.7083781040269109,.
ID0152,Merge Q1171,0.2896820397109968,Creatinine: 1.2 mg/dL
ID0152,Merge Q1171,0.0,Glucose: 170 mg/dL
