Score,Source,row_index,QA_ID,Extracted_Answer
59.27134031783338,"The patient has never been pregnant and previously used a copper intrauterine device (IUD) for contraception, but she had the IUD removed 1 year ago because it worsened her menorrhagia.",178,MedBullets df_op4 Q179,
44.34066256023661,"She denies dysuria, vaginal discharge, or vaginal pruritus.",178,MedBullets df_op4 Q179,
38.65935101082584,The patient has pain with lateral displacement of the cervix on pelvic exam.,178,MedBullets df_op4 Q179,
30.03787302616136,She has now been using combined oral contraceptive pills (OCPs) for nearly 1 year.,178,MedBullets df_op4 Q179,
25.251371384370216,A 32-year-old woman presents to her primary care provider with pelvic pain.,178,MedBullets df_op4 Q179,
22.25253325551068,"A pelvic ultrasound shows no abnormalities, and a urine pregnancy test is negative.",178,MedBullets df_op4 Q179,
21.16257509694509,"Her temperature is 98.0°F (36.7°C), blood pressure is 124/73 mmHg, pulse is 68/min, and respirations are 12/min.",178,MedBullets df_op4 Q179,
15.719834178686142,"Over the past 2 months, she has also had worsening pain during intercourse.",178,MedBullets df_op4 Q179,
10.837164302353472,The patient reports improvement in her menorrhagia on the OCPs but denies any improvement in her pain.,178,MedBullets df_op4 Q179,
9.462101027759289,"She reports that for the last several years, she has had chronic pain that is worse just before her menstrual period.",178,MedBullets df_op4 Q179,
